customer_id,age,gender,account_age_days,total_lifetime_orders,preferred_payment
CUST00350,33,F,247,25,Amazon Pay
CUST00223,48,F,661,33,UPI
CUST00581,56,M,325,35,Net Banking
CUST00742,36,F,1194,4,Cash on Delivery
CUST00367,39,F,294,39,Credit Card
CUST01484,70,Other,492,27,Net Banking
CUST01260,55,Other,1204,28,UPI
CUST01510,29,F,896,12,UPI
CUST00535,44,Other,1390,16,UPI
CUST01577,22,F,897,16,UPI
CUST00845,58,F,1698,17,Net Banking
CUST00375,33,F,1001,19,Credit Card
CUST01885,65,M,1521,32,Debit Card
CUST00815,27,Other,970,17,UPI
CUST00750,26,F,98,38,Net Banking
CUST01668,21,Other,1808,21,Amazon Pay
CUST01609,21,M,407,10,Credit Card
CUST00740,67,M,416,15,Debit Card
CUST01822,53,Other,695,43,Amazon Pay
CUST00649,20,F,826,20,Debit Card
CUST01491,26,M,1411,45,Debit Card
CUST00213,31,M,1108,35,Amazon Pay
CUST01770,42,F,885,31,Debit Card
CUST01106,62,Other,309,38,Debit Card
CUST01697,36,F,1245,49,Cash on Delivery
CUST00280,50,M,1779,38,Amazon Pay
CUST00381,30,Other,603,49,Cash on Delivery
CUST00761,56,M,1809,4,Amazon Pay
CUST01674,46,M,248,8,Debit Card
CUST00797,55,Other,1696,21,Credit Card
CUST01994,38,F,1651,37,Cash on Delivery
CUST01579,46,M,1462,34,Amazon Pay
CUST01144,55,Other,1142,22,Credit Card
CUST00389,24,M,1586,39,Cash on Delivery
CUST01590,60,Other,260,44,Debit Card
CUST01256,28,F,877,25,Net Banking
CUST00066,24,F,249,7,Amazon Pay
CUST01034,31,F,397,29,UPI
CUST01247,43,Other,1588,37,Cash on Delivery
CUST01061,55,M,1098,35,Amazon Pay
CUST00752,18,M,368,19,Cash on Delivery
CUST01220,19,Other,739,30,Net Banking
CUST01532,27,M,732,31,Cash on Delivery
CUST01542,69,F,1313,34,Credit Card
CUST00817,33,M,715,2,Cash on Delivery
CUST01277,33,M,690,40,Cash on Delivery
CUST01194,32,F,772,43,Cash on Delivery
CUST01771,43,M,672,3,Debit Card
CUST01149,52,Other,136,42,Cash on Delivery
CUST01027,53,F,234,6,Cash on Delivery
CUST00855,42,F,1498,45,Debit Card
CUST00881,30,M,1470,5,Cash on Delivery
CUST01969,61,Other,1797,41,Debit Card
CUST01222,26,Other,1354,38,UPI
CUST00876,55,F,427,48,Net Banking
CUST01063,62,M,1130,23,Amazon Pay
CUST00945,37,M,1659,42,Cash on Delivery
CUST00052,36,M,1325,35,Debit Card
CUST01489,53,M,582,14,Amazon Pay
CUST00592,34,F,593,1,Amazon Pay
CUST00488,64,F,122,7,Amazon Pay
CUST00298,64,F,873,13,Credit Card
CUST01574,53,M,841,19,Net Banking
CUST01080,34,Other,870,12,Credit Card
CUST01899,65,Other,1127,11,Amazon Pay
CUST01638,59,F,242,38,Amazon Pay
CUST00615,37,M,1358,40,Credit Card
CUST01877,21,F,246,22,Net Banking
CUST01170,24,M,592,14,Debit Card
CUST00926,39,Other,1137,4,Debit Card
CUST00390,27,M,341,24,Cash on Delivery
CUST00009,19,F,729,12,Debit Card
CUST01583,21,M,1637,48,Amazon Pay
CUST01932,59,Other,1403,11,Cash on Delivery
CUST00786,51,M,170,6,UPI
CUST01163,45,F,914,27,Amazon Pay
CUST01573,32,M,1227,40,Cash on Delivery
CUST01995,26,F,1038,39,Cash on Delivery
CUST00235,56,F,339,31,Debit Card
CUST00446,43,M,495,44,Cash on Delivery
CUST01471,26,M,1238,48,Cash on Delivery
CUST00482,64,Other,701,15,Amazon Pay
CUST00316,20,Other,1759,36,Amazon Pay
CUST00842,63,M,39,17,Debit Card
CUST00503,31,Other,1418,9,UPI
CUST00723,49,F,1717,38,Amazon Pay
CUST00588,56,F,1811,20,Credit Card
CUST01350,30,Other,859,20,Debit Card
CUST01578,56,F,992,7,Net Banking
CUST00976,19,M,477,5,Credit Card
CUST01065,55,F,50,18,Credit Card
CUST00396,41,Other,142,16,Cash on Delivery
CUST01836,66,Other,272,12,Cash on Delivery
CUST00796,38,M,208,26,UPI
CUST00448,21,F,1054,38,Net Banking
CUST01362,25,Other,1400,50,Amazon Pay
CUST01955,31,F,1332,37,Amazon Pay
CUST01327,69,M,1165,19,UPI
CUST00074,32,F,315,16,Net Banking
CUST00831,64,Other,1469,3,UPI
CUST00130,68,F,541,25,Credit Card
CUST01802,22,Other,1352,6,Amazon Pay
CUST01311,62,M,64,20,Net Banking
CUST00362,42,Other,533,43,UPI
CUST00324,51,Other,627,11,Cash on Delivery
CUST01511,44,M,1054,47,Net Banking
CUST00938,60,F,1650,42,Cash on Delivery
CUST00451,66,F,304,47,UPI
CUST00508,42,F,594,45,Net Banking
CUST01659,49,Other,588,41,Credit Card
CUST00983,53,F,1306,26,UPI
CUST01442,58,Other,1435,25,UPI
CUST00686,48,F,1086,2,Credit Card
CUST00996,59,M,813,43,UPI
CUST01963,56,Other,920,45,Amazon Pay
CUST01216,36,Other,131,6,Credit Card
CUST00304,21,Other,790,24,Amazon Pay
CUST00903,26,Other,511,41,Amazon Pay
CUST00829,41,M,919,14,Amazon Pay
CUST00694,38,M,846,46,Credit Card
CUST01195,54,M,1011,48,Cash on Delivery
CUST01861,69,M,1336,22,Net Banking
CUST00136,61,F,1585,5,Amazon Pay
CUST01686,40,M,98,34,Credit Card
CUST00368,24,F,633,9,Amazon Pay
CUST00556,38,M,1248,46,Credit Card
CUST00210,58,F,686,41,Net Banking
CUST00630,69,F,1282,4,UPI
CUST00961,42,F,220,41,Cash on Delivery
CUST01944,43,Other,679,1,Cash on Delivery
CUST01847,37,M,1557,18,Amazon Pay
CUST00869,29,Other,972,26,Credit Card
CUST00672,18,F,836,19,Credit Card
CUST01924,42,M,1509,48,Amazon Pay
CUST01287,59,F,300,39,UPI
CUST01557,20,F,722,18,UPI
CUST01565,61,F,399,4,Amazon Pay
CUST00657,51,M,1312,2,Cash on Delivery
CUST00720,28,M,1227,31,Cash on Delivery
CUST01348,38,M,810,42,UPI
CUST01415,28,M,48,26,UPI
CUST00589,35,M,578,5,Cash on Delivery
CUST01335,70,M,172,7,Amazon Pay
CUST01182,43,Other,420,35,Net Banking
CUST00841,45,Other,1431,8,Debit Card
CUST01633,36,M,968,14,Amazon Pay
CUST01320,42,Other,846,25,Debit Card
CUST01069,41,Other,103,27,Net Banking
CUST00296,47,Other,1452,39,Amazon Pay
CUST01096,32,Other,184,31,Credit Card
CUST00227,33,F,660,18,Credit Card
CUST00407,51,M,1471,40,Amazon Pay
CUST01584,43,F,725,48,UPI
CUST01688,68,M,628,25,UPI
CUST00022,65,F,1619,30,Debit Card
CUST00471,29,M,1075,11,Net Banking
CUST00254,27,Other,380,15,Amazon Pay
CUST01326,41,Other,1487,50,Amazon Pay
CUST01575,38,M,1618,47,Credit Card
CUST01278,50,M,799,16,Cash on Delivery
CUST00352,49,F,734,29,Debit Card
CUST00230,57,Other,239,50,Credit Card
CUST00239,32,M,1281,19,Amazon Pay
CUST01738,29,M,644,19,Amazon Pay
CUST01821,34,M,142,7,Debit Card
CUST01204,38,F,79,47,Credit Card
CUST00265,61,Other,126,8,Net Banking
CUST01805,29,M,1595,5,Net Banking
CUST00529,52,F,1637,30,Amazon Pay
CUST01687,48,M,1489,12,Net Banking
CUST00545,44,F,1136,21,Debit Card
CUST01933,22,Other,119,34,Debit Card
CUST01849,28,F,1346,36,Amazon Pay
CUST01319,52,F,1176,9,Net Banking
CUST00438,30,F,1207,19,Amazon Pay
CUST00532,43,F,871,5,Amazon Pay
CUST00931,65,Other,1191,42,Debit Card
CUST01983,18,M,868,15,Net Banking
CUST01071,47,Other,1473,25,UPI
CUST01561,28,F,1439,19,UPI
CUST01108,62,M,1041,36,Credit Card
CUST01538,44,M,754,33,Amazon Pay
CUST01766,65,Other,1109,16,Net Banking
CUST01829,25,M,1638,24,Cash on Delivery
CUST00125,42,Other,1301,30,UPI
CUST00172,45,Other,1353,25,Cash on Delivery
CUST01338,27,Other,361,42,Cash on Delivery
CUST00616,61,Other,1611,48,Amazon Pay
CUST00560,35,Other,512,19,UPI
CUST01562,44,Other,1758,32,Credit Card
CUST00911,24,Other,781,25,UPI
CUST00015,21,F,1190,20,Credit Card
CUST00886,56,F,837,36,Credit Card
CUST01214,23,Other,202,48,Cash on Delivery
CUST01186,59,M,1114,1,Amazon Pay
CUST00209,26,M,1670,8,Amazon Pay
CUST00696,18,M,1353,47,Cash on Delivery
CUST00863,50,F,953,42,Debit Card
CUST00597,53,M,341,33,UPI
CUST00450,41,M,579,49,Debit Card
CUST00062,56,Other,1452,27,Credit Card
CUST00935,34,F,823,44,Net Banking
CUST00652,38,M,1617,42,Cash on Delivery
CUST00660,63,F,1207,39,Debit Card
CUST01050,27,F,1485,28,UPI
CUST00736,54,Other,1058,16,Credit Card
CUST00620,45,M,1159,38,Credit Card
CUST00967,43,M,705,42,Cash on Delivery
CUST01733,55,Other,742,41,Credit Card
CUST00462,60,Other,711,37,Amazon Pay
CUST01943,51,Other,1088,32,Debit Card
CUST00055,61,Other,1160,36,UPI
CUST00322,39,M,1205,44,UPI
CUST01324,39,M,770,22,Debit Card
CUST00806,50,Other,1163,23,Amazon Pay
CUST00756,19,Other,593,23,UPI
CUST00813,69,Other,1635,30,Net Banking
CUST00288,63,Other,1111,22,Amazon Pay
CUST00315,20,M,1449,41,Cash on Delivery
CUST00800,50,Other,540,45,Amazon Pay
CUST00030,43,F,1406,27,UPI
CUST01923,41,Other,1656,41,Amazon Pay
CUST01332,24,M,1112,28,Net Banking
CUST00681,43,M,391,36,Net Banking
CUST01514,32,M,782,43,Cash on Delivery
CUST01857,46,M,881,19,Credit Card
CUST00258,53,Other,113,38,Credit Card
CUST00585,67,M,1029,3,Credit Card
CUST01558,61,M,1561,21,Credit Card
CUST00769,37,Other,235,9,UPI
CUST01988,35,M,1501,24,Cash on Delivery
CUST00536,50,M,393,4,Debit Card
CUST01062,36,F,150,7,Debit Card
CUST01200,47,Other,113,42,Credit Card
CUST01909,38,F,685,8,Cash on Delivery
CUST01789,40,M,928,25,Debit Card
CUST01353,47,Other,424,25,Amazon Pay
CUST00714,29,M,81,13,Amazon Pay
CUST00345,44,F,1630,38,UPI
CUST01570,39,Other,286,15,Credit Card
CUST00219,55,Other,1259,17,Amazon Pay
CUST00561,68,F,55,47,Credit Card
CUST00729,35,Other,1533,40,Net Banking
CUST01337,49,M,1552,29,Cash on Delivery
CUST00048,40,M,190,49,Cash on Delivery
CUST00252,61,F,1268,24,Debit Card
CUST00076,47,Other,78,24,Cash on Delivery
CUST00782,19,F,142,32,UPI
CUST01464,59,Other,143,28,UPI
CUST00360,61,F,1132,7,UPI
CUST00833,67,M,386,1,Credit Card
CUST01971,33,M,449,27,Cash on Delivery
CUST00501,69,M,641,21,Amazon Pay
CUST01015,28,Other,1085,9,Amazon Pay
CUST00727,27,Other,299,33,Amazon Pay
CUST00012,60,M,348,20,Net Banking
CUST00244,60,Other,1030,6,Credit Card
CUST00387,28,M,458,39,Credit Card
CUST00835,27,Other,657,50,Cash on Delivery
CUST00575,23,F,697,25,UPI
CUST00883,24,M,1164,18,Net Banking
CUST01929,40,F,1764,34,UPI
CUST01627,46,F,1282,34,Credit Card
CUST00094,35,F,133,35,Cash on Delivery
CUST01095,69,F,1269,7,Debit Card
CUST01673,67,Other,669,4,UPI
CUST01016,21,Other,942,7,Credit Card
CUST00143,25,Other,826,18,Credit Card
CUST00271,19,F,593,43,UPI
CUST01671,68,Other,156,41,Amazon Pay
CUST00291,66,Other,909,15,Cash on Delivery
CUST01830,30,F,95,10,Amazon Pay
CUST01593,35,F,606,47,Amazon Pay
CUST00373,30,M,1107,31,UPI
CUST01091,44,F,1512,29,UPI
CUST00162,61,M,953,26,Net Banking
CUST01453,43,F,430,25,Amazon Pay
CUST00058,42,M,1351,10,Cash on Delivery
CUST00193,27,F,762,39,Cash on Delivery
CUST01563,22,M,156,45,Debit Card
CUST00766,40,Other,800,47,Cash on Delivery
CUST01749,22,F,89,8,UPI
CUST00553,32,F,534,20,Debit Card
CUST01231,56,F,31,6,Net Banking
CUST01298,25,M,1455,5,Net Banking
CUST00719,50,M,1481,28,Credit Card
CUST00032,25,Other,193,17,Cash on Delivery
CUST00264,43,F,856,28,Credit Card
CUST01300,38,Other,1442,18,Cash on Delivery
CUST01308,26,M,1422,6,Debit Card
CUST00801,27,M,1825,7,Cash on Delivery
CUST00369,26,F,153,4,Amazon Pay
CUST01242,31,M,1781,22,UPI
CUST01953,40,Other,950,32,Cash on Delivery
CUST00211,30,F,923,28,Amazon Pay
CUST01162,31,M,504,21,UPI
CUST01657,19,Other,1043,38,Net Banking
CUST01176,24,M,480,17,Credit Card
CUST01211,62,M,894,44,Debit Card
CUST00963,50,Other,1692,19,Amazon Pay
CUST01921,39,Other,1031,32,Amazon Pay
CUST01672,18,F,1651,29,Amazon Pay
CUST01677,24,Other,490,11,Net Banking
CUST01873,69,M,1501,16,Cash on Delivery
CUST00302,50,F,1541,42,Amazon Pay
CUST00726,66,M,341,11,Credit Card
CUST00603,52,M,57,32,Credit Card
CUST00489,42,Other,719,29,Credit Card
CUST01305,21,Other,1614,4,Amazon Pay
CUST01001,21,M,1661,22,Amazon Pay
CUST01005,27,Other,58,6,Cash on Delivery
CUST00888,34,Other,430,7,Net Banking
CUST00515,22,F,1765,27,Credit Card
CUST01911,26,Other,601,35,Net Banking
CUST01400,43,M,1634,47,Cash on Delivery
CUST00284,27,F,1322,19,Credit Card
CUST01961,41,F,338,2,Debit Card
CUST01654,28,M,831,9,UPI
CUST01517,63,F,318,37,Cash on Delivery
CUST01650,49,M,1815,35,Net Banking
CUST01048,34,F,1750,9,Debit Card
CUST00568,53,Other,40,23,Credit Card
CUST00942,21,Other,854,18,Debit Card
CUST00266,59,F,1243,20,UPI
CUST01914,47,F,1540,14,Debit Card
CUST01735,55,Other,268,31,Credit Card
CUST00413,33,Other,245,3,Credit Card
CUST00698,67,Other,1052,22,UPI
CUST01166,51,F,440,25,Credit Card
CUST01919,40,F,778,33,Debit Card
CUST00709,52,F,571,9,Cash on Delivery
CUST00622,67,Other,1707,33,Net Banking
CUST00466,44,M,662,14,Net Banking
CUST01780,57,M,884,34,Credit Card
CUST00625,35,M,1804,44,Debit Card
CUST00837,38,Other,1800,8,Cash on Delivery
CUST00477,44,Other,170,38,Debit Card
CUST00717,38,F,308,34,Cash on Delivery
CUST00218,54,M,141,1,Net Banking
CUST01866,58,M,280,31,Amazon Pay
CUST01522,53,Other,815,14,Net Banking
CUST01552,45,F,1722,12,Credit Card
CUST01935,62,Other,1799,34,Cash on Delivery
CUST00757,32,Other,142,9,UPI
CUST00571,34,M,787,5,Net Banking
CUST01828,51,Other,1427,31,UPI
CUST01380,55,F,1447,36,Credit Card
CUST01793,46,M,1349,23,Amazon Pay
CUST00507,70,M,774,24,Cash on Delivery
CUST00549,41,M,719,17,UPI
CUST00995,35,M,399,12,Cash on Delivery
CUST01947,59,Other,1560,39,Cash on Delivery
CUST01761,19,F,30,17,Cash on Delivery
CUST00152,31,F,332,3,Cash on Delivery
CUST00990,61,Other,1738,35,Credit Card
CUST00758,54,M,1567,20,Net Banking
CUST01072,30,M,920,33,Cash on Delivery
CUST00892,56,Other,1802,40,Cash on Delivery
CUST00260,42,M,1037,49,Cash on Delivery
CUST00728,20,F,1414,42,Credit Card
CUST00906,61,F,866,20,Debit Card
CUST01425,69,Other,564,47,Amazon Pay
CUST00079,37,M,1438,15,Net Banking
CUST01747,44,F,898,49,Amazon Pay
CUST01493,70,Other,1727,46,UPI
CUST01160,54,F,1257,3,UPI
CUST01810,70,F,1788,50,Cash on Delivery
CUST00319,36,F,1517,28,Credit Card
CUST00974,24,F,1485,26,Net Banking
CUST01709,63,Other,1693,23,Amazon Pay
CUST01215,51,F,161,40,Amazon Pay
CUST00185,70,M,203,19,Amazon Pay
CUST01703,62,M,1119,29,UPI
CUST00711,19,F,1476,35,UPI
CUST00433,35,Other,1109,46,Amazon Pay
CUST00335,49,Other,1430,5,Cash on Delivery
CUST00024,69,Other,825,2,Cash on Delivery
CUST01778,18,Other,1016,50,Amazon Pay
CUST00708,23,F,1662,14,Cash on Delivery
CUST00821,20,M,1261,9,Debit Card
CUST01346,60,Other,501,42,Amazon Pay
CUST00432,48,M,106,26,Amazon Pay
CUST01382,20,Other,1808,19,Amazon Pay
CUST00776,60,M,436,3,Cash on Delivery
CUST01845,58,M,945,46,Credit Card
CUST01692,49,F,684,22,Credit Card
CUST01950,28,Other,652,39,Net Banking
